date,year,month,bidding_no,vehicle_class,quota,bids_success,bids_received,premium
2022-09-01,2022,9,1,Category E,165,150,260,113299
2022-09-01,2022,9,2,Category A,543,527,759,84000
2022-09-01,2022,9,2,Category B,471,471,553,108051
2022-09-01,2022,9,2,Category C,83,75,157,67001
2022-09-01,2022,9,2,Category D,512,500,658,11589
2022-09-01,2022,9,2,Category E,176,176,297,107201
2022-10-01,2022,10,1,Category A,564,561,724,80501
2022-10-01,2022,10,1,Category B,474,472,635,95856
2022-10-01,2022,10,1,Category C,84,83,148,65991
2022-10-01,2022,10,1,Category D,505,504,624,11751
2022-10-01,2022,10,1,Category E,179,179,232,105001
2022-10-01,2022,10,2,Category A,559,558,714,81089
2022-10-01,2022,10,2,Category B,470,463,848,110000
2022-10-01,2022,10,2,Category C,91,86,297,70201
2022-10-01,2022,10,2,Category D,516,511,632,12801
2022-10-01,2022,10,2,Category E,164,160,285,108003
2022-11-01,2022,11,1,Category A,460,460,687,87235
2022-11-01,2022,11,1,Category B,411,393,640,115388
2022-11-01,2022,11,1,Category C,70,69,147,76302
2022-11-01,2022,11,1,Category D,441,440,537,13189
2022-11-01,2022,11,1,Category E,146,143,283,116577
2022-11-01,2022,11,2,Category A,459,444,622,90589
2022-11-01,2022,11,2,Category B,416,416,568,113881
2022-11-01,2022,11,2,Category C,73,73,122,81802
2022-11-01,2022,11,2,Category D,445,420,594,12589
2022-11-01,2022,11,2,Category E,150,149,242,114009
2022-12-01,2022,12,1,Category A,458,454,616,88503
2022-12-01,2022,12,1,Category B,427,426,568,105501
2022-12-01,2022,12,1,Category C,69,68,118,81501
2022-12-01,2022,12,1,Category D,441,437,544,12100
2022-12-01,2022,12,1,Category E,149,148,266,110524
2022-12-01,2022,12,2,Category A,473,472,618,88007
2022-12-01,2022,12,2,Category B,409,409,564,108006
2022-12-01,2022,12,2,Category C,69,60,147,78200
2022-12-01,2022,12,2,Category D,465,461,647,11690
2022-12-01,2022,12,2,Category E,146,143,273,109600
2023-01-01,2023,1,1,Category A,462,459,649,80000
2023-01-01,2023,1,1,Category B,410,410,487,102002
2023-01-01,2023,1,1,Category C,70,70,183,77301
2023-01-01,2023,1,1,Category D,445,432,678,10890
2023-01-01,2023,1,1,Category E,146,146,285,107889
2023-01-01,2023,1,2,Category A,459,456,627,86000
2023-01-01,2023,1,2,Category B,408,402,514,105459
2023-01-01,2023,1,2,Category C,78,74,182,77109
2023-01-01,2023,1,2,Category D,445,431,572,11101
2023-01-01,2023,1,2,Category E,149,147,248,107000
2023-02-01,2023,2,1,Category A,509,497,663,86000
2023-02-01,2023,2,1,Category B,430,430,580,105524
2023-02-01,2023,2,1,Category C,44,44,108,85119
2023-02-01,2023,2,1,Category D,477,475,594,11602
2023-02-01,2023,2,1,Category E,129,126,229,105002
2023-02-01,2023,2,2,Category A,508,504,702,86556
2023-02-01,2023,2,2,Category B,436,401,768,115001
2023-02-01,2023,2,2,Category C,47,40,136,87790
2023-02-01,2023,2,2,Category D,479,453,611,12189
2023-02-01,2023,2,2,Category E,132,129,274,118001
2023-03-01,2023,3,1,Category A,517,507,665,88000
2023-03-01,2023,3,1,Category B,431,431,629,115501
2023-03-01,2023,3,1,Category C,43,39,65,91101
2023-03-01,2023,3,1,Category D,467,465,566,12390
2023-03-01,2023,3,1,Category E,132,128,254,116000
2023-03-01,2023,3,2,Category A,510,508,768,93503
2023-03-01,2023,3,2,Category B,466,466,670,116201
2023-03-01,2023,3,2,Category C,50,42,107,85389
2023-03-01,2023,3,2,Category D,490,490,616,12001
2023-03-01,2023,3,2,Category E,132,125,265,116020
2023-04-01,2023,4,1,Category A,515,508,749,96501
2023-04-01,2023,4,1,Category B,430,414,566,118501
2023-04-01,2023,4,1,Category C,47,47,103,76801
2023-04-01,2023,4,1,Category D,466,454,529,12001
2023-04-01,2023,4,1,Category E,134,133,252,118990
2023-04-01,2023,4,2,Category A,507,489,750,103721
2023-04-01,2023,4,2,Category B,430,403,553,120889
2023-04-01,2023,4,2,Category C,51,47,116,75334
2023-04-01,2023,4,2,Category D,465,436,510,12179
2023-04-01,2023,4,2,Category E,137,136,252,124501
2023-05-01,2023,5,1,Category A,474,472,663,101001
2023-05-01,2023,5,1,Category B,410,410,513,119399
2023-05-01,2023,5,1,Category C,68,68,109,75589
2023-05-01,2023,5,1,Category D,554,542,670,5002
2023-05-01,2023,5,1,Category E,125,125,271,124002
2023-05-01,2023,5,2,Category A,596,588,936,92000
2023-05-01,2023,5,2,Category B,480,480,713,113034
2023-05-01,2023,5,2,Category C,72,70,148,77501
2023-05-01,2023,5,2,Category D,571,562,"1,438",10602
2023-05-01,2023,5,2,Category E,125,104,301,125000
2023-06-01,2023,6,1,Category A,581,571,881,98001
2023-06-01,2023,6,1,Category B,454,437,719,120702
2023-06-01,2023,6,1,Category C,68,60,151,81801
2023-06-01,2023,6,1,Category D,555,519,972,11001
2023-06-01,2023,6,1,Category E,124,118,280,120889
2023-06-01,2023,6,2,Category A,586,583,751,96206
